age,educ,sex,race,polviews,polviews_num,marijuana,marijuana01
60,16,male,white,slightly liberal,3,should be legal,1
76,13,male,white,moderate,4,should be legal,1
61,16,female,other,conservative,6,should not be legal,0
20,14,female,white,liberal,2,should be legal,1
56,14,female,white,moderate,4,should be legal,1
22,15,female,white,liberal,2,should be legal,1
43,20,female,white,liberal,2,should be legal,1
65,12,male,white,slightly conservative,5,should be legal,1
62,13,female,white,moderate,4,should not be legal,0
62,8,female,white,liberal,2,should be legal,1
29,17,male,white,moderate,4,should be legal,1
51,16,female,white,moderate,4,should not be legal,0
24,16,female,other,extremely liberal,1,should be legal,1
26,12,female,other,moderate,4,should not be legal,0
30,14,male,white,slightly conservative,5,should not be legal,0
31,13,female,white,slightly liberal,3,should be legal,1
64,14,male,white,moderate,4,should be legal,1
51,15,female,white,moderate,4,should be legal,1
55,12,female,other,liberal,2,should not be legal,0
62,12,female,white,conservative,6,should be legal,1
42,16,male,white,liberal,2,should be legal,1
28,13,male,black,slightly liberal,3,should be legal,1
41,16,male,white,moderate,4,should be legal,1
41,20,female,white,conservative,6,should be legal,1
22,15,female,white,liberal,2,should be legal,1
28,16,male,white,liberal,2,should be legal,1
71,16,female,white,conservative,6,should not be legal,0
25,17,male,white,liberal,2,should be legal,1
28,16,female,white,extremely liberal,1,should be legal,1
61,18,female,white,liberal,2,should be legal,1
53,19,female,white,extremely liberal,1,should be legal,1
87,12,male,white,conservative,6,should not be legal,0
74,14,male,black,moderate,4,should be legal,1
41,20,female,white,slightly conservative,5,should be legal,1
79,18,female,white,moderate,4,should be legal,1
74,16,male,black,slightly conservative,5,should be legal,1
65,12,male,white,slightly conservative,5,should not be legal,0
36,16,female,other,conservative,6,should not be legal,0
40,17,female,white,slightly liberal,3,should be legal,1
57,12,male,white,slightly liberal,3,should be legal,1
41,12,female,black,moderate,4,should be legal,1
45,14,female,other,slightly conservative,5,should be legal,1
52,14,male,black,conservative,6,should be legal,1
50,12,female,white,slightly conservative,5,should be legal,1
51,17,female,black,slightly conservative,5,should not be legal,0
44,14,female,white,moderate,4,should be legal,1
46,18,female,black,moderate,4,should be legal,1
67,12,male,white,moderate,4,should be legal,1
42,15,female,black,moderate,4,should not be legal,0
34,20,female,white,liberal,2,should be legal,1
39,12,male,white,slightly conservative,5,should be legal,1
68,15,male,other,moderate,4,should be legal,1
45,12,female,white,conservative,6,should be legal,1
74,16,female,white,extremely liberal,1,should be legal,1
32,16,male,white,moderate,4,should not be legal,0
67,12,male,white,slightly liberal,3,should be legal,1
57,17,male,white,slightly liberal,3,should be legal,1
36,12,male,white,moderate,4,should be legal,1
34,15,female,white,liberal,2,should be legal,1
61,15,female,white,conservative,6,should not be legal,0
48,12,female,other,slightly conservative,5,should not be legal,0
32,19,female,white,liberal,2,should be legal,1
37,16,female,white,extremely liberal,1,should be legal,1
65,13,male,other,slightly liberal,3,should be legal,1
34,13,female,white,slightly conservative,5,should be legal,1
69,17,male,white,liberal,2,should be legal,1
57,16,male,white,extremely liberal,1,should be legal,1
66,12,male,white,liberal,2,should be legal,1
74,17,female,white,moderate,4,should be legal,1
73,14,female,white,NA,,should not be legal,0
47,14,male,white,conservative,6,should be legal,1
59,18,female,white,moderate,4,should not be legal,0
45,12,male,other,moderate,4,should not be legal,0
39,18,male,white,liberal,2,should be legal,1
60,14,male,white,moderate,4,should be legal,1
53,15,male,white,moderate,4,should be legal,1
64,14,female,white,moderate,4,should not be legal,0
55,14,female,white,NA,,should be legal,1
62,14,male,white,moderate,4,should be legal,1
56,11,female,white,moderate,4,should be legal,1
43,13,female,black,liberal,2,should be legal,1
31,16,female,other,conservative,6,should not be legal,0
27,16,female,white,slightly liberal,3,should be legal,1
26,18,female,white,slightly conservative,5,should be legal,1
45,18,male,white,moderate,4,should be legal,1
36,18,male,white,slightly liberal,3,should be legal,1
52,19,female,white,moderate,4,should not be legal,0
49,12,female,white,moderate,4,should be legal,1
22,13,male,white,liberal,2,should be legal,1
56,12,male,black,moderate,4,should be legal,1
55,15,female,white,moderate,4,should be legal,1
60,16,male,white,slightly conservative,5,should not be legal,0
66,12,male,white,moderate,4,should be legal,1
80,12,female,white,slightly conservative,5,should not be legal,0
47,16,male,white,conservative,6,should not be legal,0
47,14,female,white,moderate,4,should be legal,1
33,12,female,white,moderate,4,should be legal,1
27,17,male,white,liberal,2,should be legal,1
35,16,female,white,moderate,4,should not be legal,0
70,14,male,white,conservative,6,should be legal,1
35,16,male,white,slightly liberal,3,should be legal,1
41,16,female,white,extremely liberal,1,should be legal,1
34,14,female,white,moderate,4,should be legal,1
32,8,male,other,conservative,6,should not be legal,0
67,14,male,white,conservative,6,should be legal,1
49,18,female,white,slightly conservative,5,should be legal,1
33,17,female,white,slightly liberal,3,should be legal,1
40,12,male,white,moderate,4,should be legal,1
53,12,female,white,moderate,4,should be legal,1
72,18,male,white,moderate,4,should be legal,1
63,18,male,white,moderate,4,should be legal,1
36,16,female,white,extremely liberal,1,should be legal,1
76,19,male,white,slightly liberal,3,should be legal,1
39,13,female,black,moderate,4,should be legal,1
34,12,female,white,moderate,4,should be legal,1
37,14,female,black,moderate,4,should be legal,1
81,16,male,white,conservative,6,should not be legal,0
70,16,female,white,liberal,2,should be legal,1
76,16,female,white,slightly conservative,5,should not be legal,0
79,14,male,white,slightly conservative,5,should be legal,1
39,12,female,white,moderate,4,should be legal,1
80,16,female,black,moderate,4,should not be legal,0
62,16,female,white,NA,,should not be legal,0
66,16,female,white,slightly liberal,3,should be legal,1
74,12,male,white,moderate,4,should not be legal,0
41,14,female,white,conservative,6,should be legal,1
32,13,female,white,extremely liberal,1,should not be legal,0
49,13,female,white,NA,,should not be legal,0
46,13,female,black,liberal,2,should be legal,1
35,12,female,white,moderate,4,should be legal,1
69,19,male,white,slightly conservative,5,should be legal,1
30,14,female,other,moderate,4,should be legal,1
48,16,male,white,moderate,4,should be legal,1
24,17,female,white,extremely liberal,1,should be legal,1
65,16,female,white,liberal,2,should be legal,1
77,12,male,white,conservative,6,should not be legal,0
29,12,male,white,moderate,4,should be legal,1
69,16,male,white,extremely liberal,1,should be legal,1
62,16,male,white,conservative,6,should not be legal,0
84,12,male,white,moderate,4,should be legal,1
40,20,female,white,slightly liberal,3,should be legal,1
89,12,male,white,moderate,4,should not be legal,0
80,15,female,black,liberal,2,should be legal,1
81,16,male,white,moderate,4,should not be legal,0
22,14,female,white,slightly liberal,3,should be legal,1
39,14,female,white,NA,,should not be legal,0
55,12,female,white,moderate,4,should not be legal,0
55,18,female,white,moderate,4,should not be legal,0
27,19,male,other,liberal,2,should be legal,1
55,14,female,black,moderate,4,should be legal,1
25,10,male,white,moderate,4,should be legal,1
67,13,male,white,slightly conservative,5,should not be legal,0
28,16,male,white,extremely liberal,1,should be legal,1
43,14,female,white,moderate,4,should be legal,1
34,11,female,white,moderate,4,should be legal,1
69,18,female,white,extremely liberal,1,should be legal,1
72,12,female,white,moderate,4,should be legal,1
85,12,female,white,slightly conservative,5,should not be legal,0
54,14,female,white,moderate,4,should be legal,1
77,18,male,white,slightly liberal,3,should be legal,1
75,12,female,white,NA,,should not be legal,0
31,17,female,white,liberal,2,should be legal,1
48,18,male,white,extremely liberal,1,should be legal,1
47,13,male,other,moderate,4,should be legal,1
60,15,male,white,conservative,6,should not be legal,0
62,12,male,white,moderate,4,should be legal,1
60,12,female,white,conservative,6,should not be legal,0
49,12,female,white,liberal,2,should be legal,1
37,14,female,white,moderate,4,should be legal,1
26,15,male,white,moderate,4,should be legal,1
57,14,male,white,NA,,should be legal,1
58,15,female,white,conservative,6,should be legal,1
67,17,male,white,NA,,should not be legal,0
55,15,female,white,moderate,4,should be legal,1
39,16,female,white,moderate,4,should be legal,1
27,16,male,white,slightly conservative,5,should be legal,1
29,12,female,white,moderate,4,should be legal,1
57,15,female,white,liberal,2,should be legal,1
46,16,male,white,NA,,should not be legal,0
33,14,female,white,moderate,4,should be legal,1
69,12,male,white,NA,,should not be legal,0
52,15,male,white,slightly liberal,3,should be legal,1
50,10,female,black,slightly conservative,5,should be legal,1
41,16,male,white,slightly conservative,5,should be legal,1
51,20,male,white,conservative,6,should not be legal,0
40,16,female,white,extremely liberal,1,should be legal,1
48,13,male,white,slightly liberal,3,should be legal,1
39,12,male,other,moderate,4,should be legal,1
25,17,female,white,liberal,2,should be legal,1
37,13,female,white,moderate,4,should be legal,1
81,20,male,white,moderate,4,should not be legal,0
66,18,female,white,liberal,2,should be legal,1
49,16,male,white,liberal,2,should be legal,1
69,16,female,white,slightly liberal,3,should be legal,1
47,19,female,white,moderate,4,should be legal,1
75,8,female,white,slightly conservative,5,should be legal,1
39,18,male,white,slightly conservative,5,should not be legal,0
53,12,male,white,slightly conservative,5,should be legal,1
58,14,male,white,slightly liberal,3,should be legal,1
61,10,male,white,slightly conservative,5,should be legal,1
35,14,female,white,conservative,6,should be legal,1
58,12,female,white,slightly conservative,5,should be legal,1
59,16,female,white,slightly liberal,3,should be legal,1
31,16,male,white,slightly conservative,5,should be legal,1
62,20,female,white,liberal,2,should be legal,1
40,12,female,white,slightly conservative,5,should be legal,1
74,16,male,white,liberal,2,should be legal,1
71,16,female,white,liberal,2,should be legal,1
51,16,female,white,slightly liberal,3,should be legal,1
55,12,female,white,liberal,2,should be legal,1
82,12,female,white,NA,,should not be legal,0
40,20,female,black,slightly liberal,3,should be legal,1
58,15,male,white,liberal,2,should be legal,1
41,17,male,white,liberal,2,should be legal,1
73,18,female,white,liberal,2,should be legal,1
29,14,female,white,slightly liberal,3,should be legal,1
64,17,male,other,moderate,4,should be legal,1
52,14,male,white,moderate,4,should be legal,1
59,18,male,other,moderate,4,should be legal,1
63,14,female,black,liberal,2,should not be legal,0
61,16,female,other,moderate,4,should not be legal,0
38,19,female,white,slightly conservative,5,should not be legal,0
36,15,female,black,liberal,2,should not be legal,0
23,17,female,white,slightly liberal,3,should be legal,1
25,12,female,other,extremely liberal,1,should be legal,1
54,14,female,black,moderate,4,should be legal,1
38,14,male,white,moderate,4,should be legal,1
80,18,male,white,conservative,6,should not be legal,0
72,14,female,white,moderate,4,should be legal,1
52,16,male,white,liberal,2,should be legal,1
28,14,male,white,moderate,4,should be legal,1
46,16,male,white,slightly liberal,3,should be legal,1
47,14,female,white,conservative,6,should be legal,1
36,15,male,black,conservative,6,should not be legal,0
83,18,female,white,slightly liberal,3,should not be legal,0
34,11,female,black,moderate,4,should be legal,1
81,14,male,white,moderate,4,should not be legal,0
23,11,female,white,moderate,4,should be legal,1
73,12,female,white,conservative,6,should not be legal,0
45,15,male,white,slightly liberal,3,should not be legal,0
65,16,female,white,moderate,4,should be legal,1
45,12,male,white,NA,,should be legal,1
44,14,female,white,moderate,4,should be legal,1
42,15,male,white,slightly conservative,5,should be legal,1
81,18,male,white,slightly liberal,3,should be legal,1
52,17,male,white,liberal,2,should be legal,1
34,16,male,white,slightly liberal,3,should be legal,1
72,16,male,white,conservative,6,should not be legal,0
79,16,male,white,conservative,6,should be legal,1
54,18,female,white,liberal,2,should be legal,1
64,16,male,white,extremely liberal,1,should be legal,1
56,20,male,white,liberal,2,should be legal,1
38,17,male,other,slightly liberal,3,should be legal,1
62,12,female,white,moderate,4,should not be legal,0
42,20,male,white,extremely liberal,1,should be legal,1
37,14,female,other,moderate,4,should not be legal,0
69,16,male,white,moderate,4,should not be legal,0
84,14,female,white,moderate,4,should be legal,1
65,12,male,black,moderate,4,should be legal,1
54,17,male,other,moderate,4,should be legal,1
61,16,male,white,moderate,4,should be legal,1
32,16,male,white,slightly liberal,3,should be legal,1
58,18,female,white,extremely liberal,1,should be legal,1
54,16,female,black,moderate,4,should be legal,1
76,20,male,white,conservative,6,should not be legal,0
29,16,female,white,slightly liberal,3,should not be legal,0
37,11,female,black,slightly conservative,5,should be legal,1
30,14,male,white,liberal,2,should be legal,1
34,16,female,white,moderate,4,should be legal,1
61,12,male,white,moderate,4,should be legal,1
43,12,male,black,moderate,4,should not be legal,0
64,12,female,white,moderate,4,should not be legal,0
48,16,female,black,liberal,2,should be legal,1
67,13,male,white,moderate,4,should be legal,1
46,19,male,white,slightly conservative,5,should not be legal,0
39,13,female,white,moderate,4,should not be legal,0
69,17,male,white,slightly liberal,3,should be legal,1
49,20,male,white,extremely liberal,1,should be legal,1
39,14,female,black,moderate,4,should be legal,1
49,16,female,white,slightly liberal,3,should be legal,1
29,16,female,white,slightly liberal,3,should be legal,1
59,16,female,other,slightly liberal,3,should be legal,1
64,17,male,white,slightly liberal,3,should be legal,1
43,15,female,white,slightly liberal,3,should be legal,1
75,12,male,white,slightly liberal,3,should be legal,1
30,16,female,black,conservative,6,should not be legal,0
75,18,male,white,conservative,6,should not be legal,0
74,12,male,white,moderate,4,should be legal,1
56,12,male,black,moderate,4,should be legal,1
68,16,male,black,moderate,4,should not be legal,0
46,19,female,black,slightly liberal,3,should be legal,1
19,12,male,other,slightly liberal,3,should be legal,1
22,16,female,white,NA,,should be legal,1
78,13,male,black,moderate,4,should be legal,1
37,13,female,black,moderate,4,should not be legal,0
46,16,female,black,slightly conservative,5,should be legal,1
31,12,male,white,slightly conservative,5,should be legal,1
49,13,female,white,liberal,2,should be legal,1
42,20,female,white,extremely liberal,1,should be legal,1
68,12,male,white,conservative,6,should be legal,1
41,13,female,white,moderate,4,should be legal,1
85,14,male,white,moderate,4,should not be legal,0
40,12,male,white,NA,,should not be legal,0
55,14,female,black,moderate,4,should be legal,1
70,20,male,white,extremely liberal,1,should be legal,1
59,10,male,white,slightly conservative,5,should be legal,1
72,15,female,white,NA,,should be legal,1
75,14,female,black,moderate,4,should be legal,1
37,16,female,white,extremely liberal,1,should be legal,1
26,16,female,white,moderate,4,should be legal,1
69,17,male,white,slightly liberal,3,should be legal,1
62,17,male,white,conservative,6,should be legal,1
73,16,female,white,extremely liberal,1,should be legal,1
46,16,male,white,slightly conservative,5,should be legal,1
52,17,female,white,moderate,4,should not be legal,0
38,18,female,white,moderate,4,should be legal,1
57,20,female,black,moderate,4,should not be legal,0
55,18,male,white,moderate,4,should not be legal,0
70,14,male,white,moderate,4,should be legal,1
64,14,female,white,NA,,should be legal,1
41,14,male,white,moderate,4,should be legal,1
80,15,female,white,slightly liberal,3,should be legal,1
65,16,male,white,NA,,should be legal,1
87,12,female,white,moderate,4,should be legal,1
58,16,male,white,slightly conservative,5,should not be legal,0
62,18,female,white,liberal,2,should be legal,1
66,16,male,white,conservative,6,should be legal,1
33,16,male,white,slightly conservative,5,should be legal,1
75,20,female,white,conservative,6,should be legal,1
61,12,female,white,slightly conservative,5,should be legal,1
53,14,female,white,slightly liberal,3,should be legal,1
58,12,female,white,NA,,should be legal,1
49,14,female,white,conservative,6,should be legal,1
57,14,female,black,conservative,6,should be legal,1
86,18,male,white,moderate,4,should be legal,1
68,9,female,white,conservative,6,should be legal,1
60,14,female,white,liberal,2,should be legal,1
54,16,female,white,conservative,6,should not be legal,0
50,16,female,white,moderate,4,should be legal,1
62,11,female,white,slightly liberal,3,should be legal,1
49,14,female,white,moderate,4,should not be legal,0
34,12,female,white,moderate,4,should be legal,1
70,16,female,white,moderate,4,should be legal,1
41,12,male,white,moderate,4,should be legal,1
47,14,female,white,conservative,6,should be legal,1
53,16,male,white,moderate,4,should not be legal,0
52,18,female,black,NA,,should not be legal,0
72,14,female,black,moderate,4,should be legal,1
43,12,male,white,extremely liberal,1,should be legal,1
44,13,female,white,conservative,6,should be legal,1
45,14,female,white,moderate,4,should be legal,1
77,13,female,white,NA,,should not be legal,0
48,16,male,white,moderate,4,should be legal,1
48,13,female,white,NA,,should not be legal,0
32,14,female,white,NA,,should be legal,1
24,16,male,white,extremely liberal,1,should be legal,1
26,11,female,white,extremely liberal,1,should be legal,1
38,16,female,white,moderate,4,should be legal,1
63,20,female,white,slightly liberal,3,should be legal,1
38,12,female,white,slightly liberal,3,should be legal,1
74,14,female,white,slightly conservative,5,should not be legal,0
63,12,female,black,extremely liberal,1,should be legal,1
81,12,male,black,extremely liberal,1,should be legal,1
62,16,female,black,moderate,4,should be legal,1
57,12,female,white,moderate,4,should not be legal,0
36,14,male,white,slightly conservative,5,should be legal,1
52,16,male,white,moderate,4,should be legal,1
29,12,male,white,moderate,4,should be legal,1
45,16,female,black,slightly conservative,5,should be legal,1
29,18,female,white,moderate,4,should be legal,1
89,16,male,white,slightly conservative,5,should not be legal,0
66,14,female,black,slightly conservative,5,should not be legal,0
66,13,male,white,conservative,6,should not be legal,0
62,13,female,white,conservative,6,should not be legal,0
70,14,female,white,slightly conservative,5,should be legal,1
43,13,female,white,moderate,4,should be legal,1
40,16,male,white,slightly liberal,3,should be legal,1
50,19,male,other,moderate,4,should be legal,1
73,13,female,white,moderate,4,should be legal,1
30,18,female,white,liberal,2,should be legal,1
39,12,male,white,moderate,4,should be legal,1
60,13,female,white,moderate,4,should be legal,1
31,14,male,white,slightly conservative,5,should be legal,1
86,14,male,white,slightly conservative,5,should not be legal,0
59,18,female,white,liberal,2,should be legal,1
41,16,female,white,moderate,4,should be legal,1
45,12,male,white,moderate,4,should be legal,1
42,13,female,white,moderate,4,should be legal,1
81,12,male,white,slightly liberal,3,should be legal,1
73,13,male,white,conservative,6,should not be legal,0
87,12,female,white,conservative,6,should be legal,1
77,12,male,white,slightly conservative,5,should be legal,1
63,20,male,white,conservative,6,should not be legal,0
62,12,female,white,conservative,6,should not be legal,0
31,14,female,white,liberal,2,should be legal,1
74,12,female,white,moderate,4,should not be legal,0
71,15,female,white,conservative,6,should not be legal,0
62,16,female,white,moderate,4,should not be legal,0
68,12,female,white,moderate,4,should be legal,1
59,16,female,white,slightly conservative,5,should be legal,1
67,16,male,white,NA,,should not be legal,0
57,12,female,black,moderate,4,should be legal,1
69,12,female,white,NA,,should not be legal,0
33,12,male,white,moderate,4,should be legal,1
63,16,female,white,liberal,2,should be legal,1
61,11,female,white,conservative,6,should be legal,1
34,14,male,white,conservative,6,should be legal,1
89,16,female,white,moderate,4,should not be legal,0
79,18,male,white,moderate,4,should be legal,1
70,12,male,white,moderate,4,should not be legal,0
89,12,female,white,slightly conservative,5,should not be legal,0
38,12,male,white,NA,,should not be legal,0
64,18,male,white,slightly liberal,3,should be legal,1
35,12,female,white,moderate,4,should be legal,1
72,13,female,other,moderate,4,should be legal,1
56,12,male,white,conservative,6,should be legal,1
28,12,male,white,moderate,4,should be legal,1
60,12,male,white,conservative,6,should be legal,1
28,18,female,white,moderate,4,should be legal,1
66,20,female,white,slightly conservative,5,should be legal,1
85,12,male,white,conservative,6,should not be legal,0
34,16,male,white,slightly conservative,5,should be legal,1
40,16,female,white,conservative,6,should be legal,1
50,18,male,white,extremely liberal,1,should be legal,1
36,16,female,white,liberal,2,should be legal,1
35,18,male,white,slightly liberal,3,should be legal,1
46,14,male,black,extremely liberal,1,should be legal,1
74,12,male,black,moderate,4,should be legal,1
33,12,male,white,liberal,2,should be legal,1
31,14,female,black,moderate,4,should be legal,1
47,16,female,white,moderate,4,should not be legal,0
53,12,male,white,slightly conservative,5,should be legal,1
51,13,male,white,conservative,6,should not be legal,0
75,13,female,white,conservative,6,should not be legal,0
74,14,male,white,conservative,6,should not be legal,0
47,11,female,black,extremely liberal,1,should be legal,1
34,13,female,white,slightly liberal,3,should be legal,1
68,12,female,white,slightly liberal,3,should be legal,1
35,14,male,white,slightly liberal,3,should be legal,1
54,14,female,white,moderate,4,should be legal,1
62,12,female,white,moderate,4,should be legal,1
69,12,female,white,moderate,4,should be legal,1
42,11,male,white,moderate,4,should be legal,1
40,14,male,white,conservative,6,should be legal,1
34,16,female,white,liberal,2,should be legal,1
40,17,female,white,slightly conservative,5,should be legal,1
33,11,male,other,NA,,should be legal,1
68,12,female,white,slightly conservative,5,should be legal,1
77,16,female,white,conservative,6,should not be legal,0
47,12,female,black,slightly liberal,3,should be legal,1
36,11,female,black,moderate,4,should be legal,1
57,16,female,white,slightly conservative,5,should be legal,1
40,9,female,white,moderate,4,should be legal,1
29,16,female,white,liberal,2,should be legal,1
70,16,male,white,conservative,6,should be legal,1
52,16,female,white,slightly liberal,3,should be legal,1
63,15,male,white,slightly conservative,5,should be legal,1
68,16,male,white,slightly conservative,5,should be legal,1
37,16,female,white,conservative,6,should be legal,1
77,20,female,white,moderate,4,should be legal,1
34,15,female,black,conservative,6,should be legal,1
82,20,male,black,slightly liberal,3,should be legal,1
60,16,female,white,slightly conservative,5,should be legal,1
74,16,male,white,NA,,should be legal,1
40,16,male,white,moderate,4,should be legal,1
33,16,male,white,slightly conservative,5,should be legal,1
62,14,male,white,conservative,6,should be legal,1
51,14,female,black,liberal,2,should be legal,1
34,16,male,white,slightly conservative,5,should be legal,1
36,12,female,white,moderate,4,should be legal,1
27,13,male,white,slightly liberal,3,should be legal,1
39,12,male,white,moderate,4,should be legal,1
48,14,male,white,slightly conservative,5,should be legal,1
60,16,female,white,slightly liberal,3,should be legal,1
67,20,male,white,moderate,4,should not be legal,0
49,11,male,white,moderate,4,should be legal,1
43,18,male,white,moderate,4,should not be legal,0
62,14,male,white,conservative,6,should not be legal,0
48,12,male,white,moderate,4,should be legal,1
34,13,female,white,slightly conservative,5,should be legal,1
43,15,male,other,moderate,4,should be legal,1
45,16,female,white,liberal,2,should be legal,1
34,16,female,white,slightly liberal,3,should be legal,1
74,18,female,white,liberal,2,should be legal,1
26,16,male,white,slightly liberal,3,should be legal,1
54,18,male,white,moderate,4,should not be legal,0
75,16,male,white,liberal,2,should be legal,1
34,16,female,other,slightly conservative,5,should not be legal,0
20,12,female,white,extremely liberal,1,should be legal,1
42,13,male,white,conservative,6,should be legal,1
85,12,male,white,conservative,6,should not be legal,0
42,18,male,white,liberal,2,should be legal,1
41,14,male,white,conservative,6,should be legal,1
59,16,male,white,liberal,2,should be legal,1
29,13,male,other,moderate,4,should be legal,1
44,18,female,white,extremely liberal,1,should be legal,1
37,19,male,white,liberal,2,should be legal,1
71,20,female,white,slightly liberal,3,should be legal,1
40,12,male,white,moderate,4,should be legal,1
